8888 통합 관제 대시보드: http://localhost:8888
[DISCORD BOT] Token not found in discord_bot_token.txt or env. Listener waiting for token.
[DISCORD] 20:12:50 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.7s
[DISCORD] 20:13:21 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.7s
[DISCORD] 20:13:51 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.8s
[DISCORD] 20:14:21 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.8s
[DISCORD] 20:14:51 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.7s
[DISCORD] 20:15:21 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.8s
[DISCORD] 20:15:51 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.7s
[DISCORD] 20:16:21 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.8s
[DISCORD] 20:16:51 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=1.1s
[DISCORD] 20:17:21 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.7s
[DISCORD] 20:17:52 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=1.9s
[DISCORD] 20:18:20 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.6s
[DISCORD] 20:18:51 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.8s
[DISCORD] 20:19:21 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.7s
[DISCORD] 20:19:51 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.7s
[DISCORD] 20:20:21 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.7s
[DISCORD] 20:20:51 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.8s
[DISCORD] 20:21:21 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.7s
[DISCORD] 20:21:51 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.7s
[DISCORD] 20:22:21 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.7s
[DISCORD] 20:22:51 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.7s
[DISCORD] 20:23:21 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.7s
[DISCORD] 20:23:51 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.9s
[DISCORD] 20:24:24 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=3.6s
[DISCORD] 20:24:51 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.8s
[DISCORD] 20:25:21 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.7s
[DISCORD] 20:25:51 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.8s
[DISCORD] 20:26:21 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.7s
[DISCORD] 20:26:51 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.6s
[DISCORD] 20:27:21 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.8s
[DISCORD] 20:27:51 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.7s
[DISCORD] 20:28:21 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.7s
[DISCORD] 20:28:51 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.7s
[DISCORD] 20:29:21 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.7s
[DISCORD] 20:29:51 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.7s
[DISCORD] 20:30:21 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.8s
[DISCORD] 20:30:51 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=1.3s
[DISCORD] 20:31:21 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.7s
[DISCORD] 20:31:51 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.8s
[DISCORD] 20:32:21 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.7s
[DISCORD] 20:32:51 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.8s
[DISCORD] 20:33:21 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.9s
[DISCORD] 20:33:51 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.7s
[DISCORD] 20:34:21 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.7s
[DISCORD] 20:34:51 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.6s
[DISCORD] 20:35:21 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.6s
